"idcomm","id","pop2000","commtrust","male","white","married","relighet","disadvantage","age","educate","income","commlength","trust"
35,30128,524,-0.56454074382782,0,1,1,0.146669059991837,0.740575611591339,50,3,4,6,0
35,30129,524,-1.22472047805786,1,1,0,0.146669059991837,0.740575611591339,40,3,8,40,0
35,30130,524,-1.03028202056885,0,1,1,0.146669059991837,0.740575611591339,56,4,4,11,0
35,30131,524,-0.642986357212067,1,1,1,0.146669059991837,0.740575611591339,87,4,4,74,0
35,30132,524,0.685642898082733,1,1,1,0.146669059991837,0.740575611591339,85,4,5,75,0
35,30133,524,0.489877045154572,1,1,1,0.146669059991837,0.740575611591339,27,6,6,2,0
35,30134,524,0.00231940718367696,0,1,1,0.146669059991837,0.740575611591339,45,4,5,5,0
35,30136,524,-1.0443662405014,1,1,1,0.146669059991837,0.740575611591339,53,6,4,32,0
35,30138,524,-0.317199170589447,1,1,1,0.146669059991837,0.740575611591339,76,3,4,70,0
35,30139,524,0.0345964357256889,1,1,1,0.146669059991837,0.740575611591339,34,4,5,2,0
35,30142,524,-0.95322573184967,0,1,1,0.146669059991837,0.740575611591339,55,4,6,11,0
35,30145,524,1.46240746974945,1,1,1,0.146669059991837,0.740575611591339,36,3,8,36,1
35,30148,524,-1.81062269210815,0,0,1,0.146669059991837,0.740575611591339,61,3,8,44,0
35,30150,524,-1.19110095500946,0,1,1,0.146669059991837,0.740575611591339,68,1,1,15,0
35,30151,524,-1.52246248722076,1,1,1,0.146669059991837,0.740575611591339,64,1,5,64,0
35,30152,524,-0.0487711280584335,0,1,1,0.146669059991837,0.740575611591339,32,6,3,3,0
35,30153,524,-0.74403190612793,0,1,1,0.146669059991837,0.740575611591339,32,5,5,5,0
35,30155,524,-0.707855224609375,0,1,1,0.146669059991837,0.740575611591339,37,5,6,13,0
35,30156,524,-0.99705559015274,0,1,0,0.146669059991837,0.740575611591339,77,2,2,5,0
35,30158,524,-0.495931446552277,0,1,1,0.146669059991837,0.740575611591339,35,4,5,8,0
35,30159,524,0.906605541706085,1,1,1,0.146669059991837,0.740575611591339,75,2,6,65,0
35,30161,524,-1.18984234333038,0,0,0,0.146669059991837,0.740575611591339,41,4,3,7,0
35,30900,524,0.175914108753204,0,1,1,0.146669059991837,0.740575611591339,50,3,0,5,0
45,40001,709,1.2208616733551,1,1,0,0.399247020483017,0.331515371799469,46,3,5,17,1
45,40004,709,1.23153173923492,0,1,0,0.399247020483017,0.331515371799469,76,3,2,50,1
45,40006,709,1.54289162158966,0,1,0,0.399247020483017,0.331515371799469,76,4,4,76,1
45,40007,709,0.440239429473877,0,1,0,0.399247020483017,0.331515371799469,42,4,3,17,0
45,40008,709,1.3206045627594,0,1,1,0.399247020483017,0.331515371799469,51,7,5,51,1
45,40009,709,1.65206861495972,1,1,1,0.399247020483017,0.331515371799469,79,3,1,79,1
45,40010,709,0.33271723985672,0,1,1,0.399247020483017,0.331515371799469,77,4,5,77,0
